Date,Cases
8/07/2020,149
9/07/2020,143
10/07/2020,290
11/07/2020,256
12/07/2020,167
13/07/2020,248
14/07/2020,218
15/07/2020,295
16/07/2020,379
17/07/2020,211
18/07/2020,337
19/07/2020,262
20/07/2020,341
21/07/2020,436
22/07/2020,374
23/07/2020,287
24/07/2020,333
25/07/2020,408
26/07/2020,492
27/07/2020,358
28/07/2020,274
29/07/2020,626
30/07/2020,549
31/07/2020,368
1/08/2020,598
2/08/2020,352
3/08/2020,403
4/08/2020,687
5/08/2020,444
6/08/2020,421
7/08/2020,455
8/08/2020,374
9/08/2020,310
10/08/2020,321
11/08/2020,400
12/08/2020,256
13/08/2020,360
14/08/2020,301
15/08/2020,267
16/08/2020,266
17/08/2020,218
18/08/2020,208
19/08/2020,231
20/08/2020,170
21/08/2020,173
22/08/2020,202
23/08/2020,109
24/08/2020,146
25/08/2020,142
26/08/2020,110
27/08/2020,111
28/08/2020,90
29/08/2020,108
30/08/2020,71
31/08/2020,63
1/09/2020,87
2/09/2020,110
3/09/2020,75
4/09/2020,71
5/09/2020,62
6/09/2020,38
7/09/2020,48
8/09/2020,70
9/09/2020,47
10/09/2020,40
11/09/2020,35
12/09/2020,41
13/09/2020,30
14/09/2020,39
15/09/2020,41
16/09/2020,25
17/09/2020,45
18/09/2020,20
19/09/2020,13
20/09/2020,11
21/09/2020,28
22/09/2020,14
23/09/2020,11
24/09/2020,13
25/09/2020,12
26/09/2020,16
27/09/2020,5
28/09/2020,9
29/09/2020,10
30/09/2020,14
1/10/2020,5
2/10/2020,9
3/10/2020,10
4/10/2020,8
5/10/2020,14
6/10/2020,5
7/10/2020,9
8/10/2020,10
9/10/2020,14
10/10/2020,12
11/10/2020,14
12/10/2020,11
13/10/2020,5
14/10/2020,6
15/10/2020,2
16/10/2020,1
17/10/2020,2
18/10/2020,3
20/10/2020,3
21/10/2020,5
22/10/2020,1
23/10/2020,5
24/10/2020,7
27/10/2020,2
